
15:38:54 | Pipe | clients  4 | logs       98,219 | watches        982 | flows        491 | payload     95.4 MiB
15:38:55 | Pipe | clients  4 | logs       98,982 | watches        989 | flows        494 | payload     96.2 MiB
15:38:56 | Pipe | clients  4 | logs       99,721 | watches        997 | flows        498 | payload     96.9 MiB
15:38:57 | Pipe | clients  4 | logs      100,477 | watches      1,004 | flows        502 | payload     97.6 MiB
15:38:58 | Pipe | clients  4 | logs      101,223 | watches      1,012 | flows        506 | payload     98.4 MiB
15:38:59 | Pipe | clients  4 | logs      101,971 | watches      1,019 | flows        509 | payload     99.1 MiB
15:39:00 | Pipe | clients  4 | logs      102,730 | watches      1,027 | flows        513 | payload     99.8 MiB
15:39:01 | Pipe | clients  4 | logs      103,477 | watches      1,034 | flows        517 | payload    100.6 MiB
15:39:02 | Pipe | clients  4 | logs      104,221 | watches      1,042 | flows        521 | payload    101.3 MiB
15:39:03 | Pipe | clients  4 | logs      104,969 | watches      1,049 | flows        524 | payload    102.0 MiB
15:39:04 | Pipe | clients  4 | logs      105,726 | watches      1,057 | flows        528 | payload    102.7 MiB
15:39:05 | Pipe | clients  4 | logs      106,477 | watches      1,064 | flows        532 | payload    103.5 MiB
15:39:06 | Pipe | clients  4 | logs      107,223 | watches      1,072 | flows        536 | payload    104.2 MiB
15:39:07 | Pipe | clients  4 | logs      107,971 | watches      1,079 | flows        539 | payload    104.9 MiB
15:39:08 | Pipe | clients  4 | logs      108,730 | watches      1,087 | flows        543 | payload    105.7 MiB
15:39:09 | Pipe | clients  4 | logs      109,478 | watches      1,094 | flows        547 | payload    106.4 MiB
15:39:10 | Pipe | clients  4 | logs      110,222 | watches      1,102 | flows        551 | payload    107.1 MiB
15:39:11 | Pipe | clients  4 | logs      110,982 | watches      1,109 | flows        554 | payload    107.9 MiB
15:39:12 | Pipe | clients  4 | logs      111,720 | watches      1,117 | flows        558 | payload    108.6 MiB
15:39:13 | Pipe | clients  4 | logs      112,470 | watches      1,124 | flows        562 | payload    109.3 MiB
15:39:14 | Pipe | clients  4 | logs      113,223 | watches      1,132 | flows        566 | payload    110.0 MiB
15:39:15 | Pipe | clients  4 | logs      113,976 | watches      1,139 | flows        569 | payload    110.8 MiB
15:39:16 | Pipe | clients  4 | logs      114,723 | watches      1,147 | flows        573 | payload    111.5 MiB
15:39:17 | Pipe | clients  4 | logs      115,476 | watches      1,154 | flows        577 | payload    112.2 MiB
15:39:18 | Pipe | clients  4 | logs      116,222 | watches      1,162 | flows        581 | payload    112.9 MiB
15:39:19 | Pipe | clients  4 | logs      116,970 | watches      1,169 | flows        584 | payload    113.7 MiB
15:39:20 | Pipe | clients  4 | logs      117,726 | watches      1,177 | flows        588 | payload    114.4 MiB
15:39:21 | Pipe | clients  4 | logs      118,471 | watches      1,184 | flows        592 | payload    115.1 MiB
