
13:38:06 | Tcp  | clients  8 | logs      845,032 | watches      8,448 | flows      4,224 | payload    821.2 MiB
13:38:07 | Tcp  | clients  8 | logs      853,436 | watches      8,529 | flows      4,264 | payload    829.4 MiB
13:38:08 | Tcp  | clients  8 | logs      861,575 | watches      8,612 | flows      4,304 | payload    837.3 MiB
13:38:09 | Tcp  | clients  8 | logs      869,342 | watches      8,688 | flows      4,344 | payload    844.8 MiB
13:38:10 | Tcp  | clients  8 | logs      877,231 | watches      8,768 | flows      4,384 | payload    852.5 MiB
13:38:11 | Tcp  | clients  8 | logs      885,114 | watches      8,848 | flows      4,424 | payload    860.1 MiB
13:38:12 | Tcp  | clients  8 | logs      893,501 | watches      8,929 | flows      4,464 | payload    868.3 MiB
13:38:13 | Tcp  | clients  8 | logs      901,576 | watches      9,011 | flows      4,504 | payload    876.1 MiB
13:38:14 | Tcp  | clients  8 | logs      908,025 | watches      9,076 | flows      4,536 | payload    882.4 MiB
13:38:15 | Tcp  | clients  8 | logs      917,270 | watches      9,168 | flows      4,584 | payload    891.4 MiB
13:38:16 | Tcp  | clients  8 | logs      923,676 | watches      9,232 | flows      4,616 | payload    897.6 MiB
13:38:17 | Tcp  | clients  8 | logs      933,504 | watches      9,329 | flows      4,664 | payload    907.2 MiB
13:38:18 | Tcp  | clients  8 | logs      941,507 | watches      9,409 | flows      4,704 | payload    915.0 MiB
13:38:19 | Tcp  | clients  8 | logs      949,587 | watches      9,492 | flows      4,744 | payload    922.8 MiB
13:38:20 | Tcp  | clients  8 | logs      957,248 | watches      9,568 | flows      4,784 | payload    930.2 MiB
13:38:21 | Tcp  | clients  8 | logs      965,220 | watches      9,648 | flows      4,824 | payload    938.0 MiB
13:38:22 | Tcp  | clients  8 | logs      972,593 | watches      9,721 | flows      4,857 | payload    945.2 MiB
13:38:23 | Tcp  | clients  8 | logs      981,530 | watches      9,809 | flows      4,904 | payload    953.8 MiB
13:38:24 | Tcp  | clients  8 | logs      989,329 | watches      9,888 | flows      4,944 | payload    961.4 MiB
13:38:25 | Tcp  | clients  8 | logs      991,712 | watches      9,912 | flows      4,952 | payload    963.7 MiB
13:38:26 | Tcp  | clients  8 | logs    1,001,025 | watches     10,008 | flows      5,000 | payload    972.8 MiB
13:38:27 | Tcp  | clients  8 | logs    1,004,353 | watches     10,040 | flows      5,016 | payload    976.0 MiB
13:38:28 | Tcp  | clients  8 | logs    1,010,953 | watches     10,105 | flows      5,048 | payload    982.4 MiB
13:38:29 | Tcp  | clients  8 | logs    1,012,996 | watches     10,127 | flows      5,063 | payload    984.4 MiB
13:38:30 | Tcp  | clients  8 | logs    1,013,047 | watches     10,128 | flows      5,064 | payload    984.5 MiB
13:38:31 | Tcp  | clients  8 | logs    1,017,632 | watches     10,172 | flows      5,084 | payload    988.9 MiB
13:38:32 | Tcp  | clients  8 | logs    1,027,915 | watches     10,275 | flows      5,136 | payload    998.9 MiB
